hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date
City Hotel,0,76,2017,March,13,29,0,4,2,0.0,0,BB,NLD,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,75.39123156121859,0,2,Check-Out,2024-09-22
City Hotel,0,17,2016,June,26,21,0,3,1,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,91.10642578922678,1,1,Check-Out,2025-02-23
City Hotel,0,393,2016,October,42,14,0,2,2,0.0,0,HB,DEU,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,6.0,,0,Transient-Party,95.20435617085195,0,1,Check-Out,2024-10-07
City Hotel,0,231,2016,July,31,30,2,3,2,0.0,0,BB,AUT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient-Party,89.8273223772468,0,1,Check-Out,2025-01-29
City Hotel,0,129,2015,December,49,5,2,1,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,1.0,,0,Transient-Party,67.74632328200151,0,0,Check-Out,2024-12-21
City Hotel,1,215,2017,March,9,2,0,3,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,77.55584127446937,0,0,Canceled,2025-01-08
City Hotel,1,93,2016,June,26,23,0,1,2,0.0,0,SC,ISR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,92.07187260545396,0,0,Canceled,2025-07-13
City Hotel,1,101,2017,April,14,4,0,2,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,,385.0,0,Transient,93.86333832643128,0,0,Canceled,2024-10-15
Resort Hotel,0,71,2015,August,32,3,2,5,2,0.0,0,HB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,147.0,,0,Transient-Party,133.95018607215667,0,2,Check-Out,2025-01-02
City Hotel,0,139,2017,May,20,18,0,3,2,0.0,0,BB,DEU,Direct,Direct,0,0,0,E,E,0,No Deposit,14.0,,0,Transient,158.58175074908587,0,0,Check-Out,2025-02-12
City Hotel,1,43,2016,July,27,1,0,2,3,0.0,0,BB,BEL,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,155.57029281106273,0,0,Canceled,2025-02-08
City Hotel,0,237,2016,May,20,12,1,3,2,0.0,0,BB,DNK,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7.0,,0,Transient,90.805306965125,0,2,Check-Out,2025-07-19
City Hotel,0,105,2016,May,19,5,1,3,2,0.0,0,BB,FRA,Direct,Direct,0,0,0,A,C,0,No Deposit,14.0,,0,Transient,118.6798033351583,0,0,Check-Out,2024-10-15
Resort Hotel,1,5,2016,May,23,29,2,3,1,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,168.0,,0,Transient,58.97698800642888,0,0,Canceled,2024-12-16
City Hotel,0,199,2016,August,32,5,0,1,2,2.0,0,HB,GBR,Direct,Direct,0,0,0,G,G,1,No Deposit,14.0,,0,Transient,292.4337178737447,1,0,Check-Out,2024-10-19
City Hotel,0,103,2016,August,33,7,2,1,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,130.73657505694305,0,2,Check-Out,2025-01-31
City Hotel,1,154,2017,June,23,8,0,3,2,0.0,0,SC,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,131.25710802124738,0,0,Canceled,2025-07-02
Resort Hotel,0,0,2016,February,6,5,1,2,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,E,E,0,No Deposit,,,0,Transient,64.70340711972293,0,0,Check-Out,2025-06-04
City Hotel,0,0,2016,January,5,29,0,1,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,D,D,0,No Deposit,,,0,Transient,115.11302308570261,0,0,Check-Out,2024-09-20
City Hotel,0,90,2016,November,45,3,1,3,2,0.0,0,BB,KOR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,81.89603826032099,0,1,Check-Out,2025-08-03
City Hotel,0,88,2016,October,44,24,1,3,2,1.0,0,HB,DEU,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,9.0,,0,Transient,127.79966512686767,0,0,Check-Out,2024-10-11
Resort Hotel,1,96,2017,August,34,26,2,2,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,40.0,,0,Contract,154.20377651480936,0,1,Canceled,2025-07-01
City Hotel,1,14,2017,June,23,8,0,1,1,0.0,0,HB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,6.0,,0,Transient,114.52974201910952,0,0,Canceled,2025-01-28
City Hotel,0,184,2016,August,33,12,1,2,2,0.0,0,SC,BEL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,98.2723042427091,0,1,Check-Out,2025-03-02
City Hotel,0,233,2017,June,25,20,2,8,2,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,130.81741118762358,0,1,Check-Out,2025-08-14
City Hotel,0,44,2015,December,52,26,2,2,2,0.0,0,BB,DEU,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,28.0,,0,Contract,57.34073779253044,0,1,Check-Out,2025-04-27
City Hotel,1,146,2016,October,44,27,0,1,2,0.0,0,SC,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,8.0,,0,Transient,76.30897897357502,0,2,Canceled,2025-05-12
Resort Hotel,0,15,2015,November,48,27,0,2,2,0.0,1,HB,PRT,Corporate,Direct,0,0,0,D,D,2,No Deposit,,346.0,0,Transient,63.5248864651449,0,1,Check-Out,2025-05-02
Resort Hotel,1,49,2016,September,38,11,2,2,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,,,0,Transient,103.5312724499796,0,0,Canceled,2025-02-14
City Hotel,0,230,2015,September,36,1,0,3,2,0.0,0,BB,AUT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7.0,,0,Transient,60.024917641104935,0,0,Check-Out,2025-07-25
City Hotel,0,100,2017,May,19,10,0,2,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,83.0,,0,Transient,123.04522709378071,0,0,Check-Out,2024-10-24
City Hotel,0,85,2016,August,32,6,1,1,2,1.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,139.24645080180252,0,2,Check-Out,2025-04-03
Resort Hotel,0,22,2017,February,8,22,0,4,2,0.0,0,BB,GBR,Corporate,Corporate,0,0,0,A,A,0,No Deposit,,405.0,0,Transient-Party,47.76794370791914,0,0,Check-Out,2025-07-24
City Hotel,1,18,2017,April,15,13,0,3,2,0.0,0,SC,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,133.55576382541696,0,0,Canceled,2025-01-05
City Hotel,0,13,2015,December,50,11,0,2,2,0.0,0,BB,PRT,Complementary,Direct,0,0,0,B,B,0,No Deposit,,,0,Transient,0.0,0,1,Check-Out,2024-12-27
City Hotel,0,85,2017,March,13,30,0,3,2,0.0,0,BB,AUT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,97.57759684306104,0,1,Check-Out,2025-02-03
City Hotel,0,305,2016,July,31,30,1,1,2,0.0,0,HB,DEU,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,6.0,,0,Transient-Party,112.66322981054087,0,1,Check-Out,2025-01-17
City Hotel,1,145,2017,April,16,21,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,286.0,,0,Transient,95.57866943422236,0,0,Canceled,2024-11-03
Resort Hotel,1,164,2016,May,22,28,2,5,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,8.0,,0,Transient-Party,42.07687292627381,0,1,Canceled,2025-04-30
City Hotel,1,325,2015,September,39,24,2,4,2,0.0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,1.0,,0,Transient,141.55110903501142,0,0,Canceled,2025-05-28
City Hotel,0,59,2015,November,47,18,0,3,1,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,1,No Deposit,29.0,,0,Transient-Party,68.16929093864832,0,0,Check-Out,2025-04-22
Resort Hotel,0,0,2016,March,10,1,0,2,2,0.0,0,BB,BRA,Direct,Direct,0,0,0,F,F,1,No Deposit,,,0,Transient,71.15983858780713,1,0,Check-Out,2025-08-03
Resort Hotel,1,260,2017,February,6,10,0,2,2,0.0,0,HB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,155.0,,0,Transient,46.286447420839316,0,0,Canceled,2024-12-30
City Hotel,0,94,2017,March,13,31,1,2,2,0.0,0,BB,POL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,107.78435086584156,0,1,Check-Out,2025-01-21
City Hotel,0,99,2017,June,25,22,2,5,2,0.0,0,BB,FIN,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,9.0,,0,Transient,140.3146203006704,0,0,Check-Out,2025-04-05
Resort Hotel,1,72,2017,February,8,19,2,3,1,0.0,0,BB,ITA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient-Party,38.95102676603257,0,1,Canceled,2025-07-02
Resort Hotel,0,161,2016,July,29,12,2,5,2,0.0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,175.0,,0,Transient,102.58894159848494,0,0,Check-Out,2025-03-27
Resort Hotel,0,9,2016,April,15,9,0,1,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,D,D,0,No Deposit,250.0,,0,Transient,90.6285844900786,1,0,Check-Out,2024-10-05
Resort Hotel,0,28,2016,April,15,5,2,5,2,0.0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,26.0,,0,Transient,48.54483832676987,0,0,Check-Out,2025-03-01
City Hotel,0,149,2017,August,33,13,2,2,2,1.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,176.3735414043173,0,2,Check-Out,2025-01-19
Resort Hotel,0,4,2015,October,43,19,1,4,1,0.0,0,HB,PRT,Groups,Direct,0,0,0,A,A,0,No Deposit,,,0,Transient-Party,0.0,0,0,Check-Out,2025-04-19
City Hotel,1,95,2016,March,11,7,1,4,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,78.41804081162498,0,0,Canceled,2025-01-21
City Hotel,1,155,2016,October,40,1,2,1,2,0.0,0,BB,IRL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,117.60317135946165,0,2,Canceled,2024-10-07
City Hotel,0,220,2016,July,30,22,0,2,2,0.0,0,BB,USA,Groups,TA/TO,0,0,0,A,D,0,No Deposit,1.0,,96,Transient-Party,76.09841261419169,0,1,Check-Out,2024-09-10
City Hotel,0,96,2016,November,45,3,0,1,2,0.0,0,BB,SWE,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,86.39099339064198,0,2,Check-Out,2024-10-03
Resort Hotel,0,45,2015,December,50,12,0,1,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,240.0,,0,Transient,47.8907561429929,0,1,Check-Out,2025-05-07
Resort Hotel,0,11,2016,July,31,25,1,3,2,0.0,0,BB,CHE,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,240.0,,0,Transient,198.60263457108806,0,0,Check-Out,2024-10-14
City Hotel,1,179,2017,June,22,1,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,58.0,,0,Transient,85.39662726848206,0,0,Canceled,2024-12-28
Resort Hotel,0,17,2017,May,19,7,2,1,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,72.57873937805499,1,1,Check-Out,2024-11-05
City Hotel,0,179,2017,April,15,15,2,1,2,0.0,0,HB,RUS,Groups,TA/TO,0,0,0,A,A,1,No Deposit,2.0,,0,Transient-Party,103.21523374153452,0,1,Check-Out,2025-02-28
City Hotel,1,33,2017,May,21,21,2,5,2,0.0,0,BB,BRA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,210.89270119396156,0,2,Canceled,2024-11-15
Resort Hotel,1,332,2017,August,32,11,1,2,1,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,159.69600161266516,0,2,Canceled,2025-02-09
City Hotel,1,124,2015,September,38,18,1,2,1,0.0,0,HB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,15.0,,0,Transient,79.65454734297154,0,1,Canceled,2025-02-25
City Hotel,1,15,2017,February,7,17,0,2,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,19.0,,0,Transient,91.80129107618605,0,0,Canceled,2025-07-28
City Hotel,1,295,2015,July,30,20,1,1,2,0.0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,1.0,,0,Transient-Party,67.26750188553089,0,0,Canceled,2024-10-30
City Hotel,0,52,2016,March,11,6,2,1,2,0.0,0,BB,DEU,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,27.0,,0,Transient-Party,37.701684121429544,0,1,Check-Out,2025-04-26
Resort Hotel,1,62,2016,December,50,7,0,4,2,0.0,0,BB,PRT,Groups,Direct,0,0,0,A,A,0,No Deposit,,,0,Transient-Party,34.269154721733756,0,0,Canceled,2025-02-17
Resort Hotel,1,106,2016,February,7,12,0,2,2,0.0,0,FB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,134.0,,0,Transient-Party,61.9417272224983,0,0,Canceled,2025-06-02
City Hotel,0,55,2016,November,47,14,1,2,2,0.0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,28.0,,0,Transient,72.21131802280179,0,0,Check-Out,2024-10-20
Resort Hotel,0,11,2017,June,26,26,1,3,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,C,C,0,No Deposit,3.0,,0,Transient,124.40419955447204,1,1,Check-Out,2025-05-03
City Hotel,0,109,2015,October,42,16,0,2,2,0.0,0,HB,DEU,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,6.0,,0,Transient-Party,106.95005913332696,0,0,Check-Out,2024-10-08
Resort Hotel,0,18,2017,March,10,7,0,4,2,0.0,0,HB,AUT,Direct,Corporate,1,0,1,D,D,0,No Deposit,,,0,Transient-Party,68.26912991494325,0,0,Check-Out,2024-10-07
Resort Hotel,0,129,2016,May,21,17,2,5,2,0.0,0,BB,IRL,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,175.0,,0,Transient,42.4217353214427,0,0,Check-Out,2024-12-11
City Hotel,0,288,2017,June,24,14,0,2,2,0.0,0,BB,DEU,Online TA,TA/TO,0,0,1,A,A,2,No Deposit,9.0,,0,Transient,115.23657163551623,0,2,Check-Out,2025-05-04
City Hotel,1,58,2017,May,18,6,1,1,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,132.19989166248632,0,0,Canceled,2025-01-03
City Hotel,1,160,2017,May,20,15,1,2,1,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,,,0,Transient,156.5071270014354,0,0,Canceled,2024-11-12
Resort Hotel,0,24,2015,December,52,26,0,1,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,74.28757636460944,0,0,Check-Out,2025-06-24
Resort Hotel,0,2,2016,November,45,1,0,1,1,0.0,0,BB,CHE,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,44.874307458412105,0,2,Check-Out,2025-06-04
City Hotel,1,262,2017,July,27,7,0,2,2,0.0,0,BB,IRL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,108.27270468224704,0,2,Canceled,2025-07-05
City Hotel,0,23,2017,March,12,19,2,0,2,0.0,0,BB,USA,Direct,Direct,0,0,0,E,E,0,No Deposit,14.0,,0,Transient,145.38799367391843,0,0,Check-Out,2024-09-21
City Hotel,1,45,2016,July,30,18,1,1,3,0.0,0,BB,BEL,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,176.61992053347825,0,2,No-Show,2025-05-03
City Hotel,0,96,2016,April,15,5,0,3,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,101.1878811214172,0,1,Check-Out,2024-12-22
City Hotel,1,35,2015,August,33,12,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,1.0,,0,Transient-Party,63.43104516249321,0,0,Canceled,2024-12-10
Resort Hotel,0,103,2015,September,38,18,1,2,2,0.0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,E,F,0,No Deposit,142.0,,0,Transient,83.446103380788,0,0,Check-Out,2025-02-03
City Hotel,0,85,2017,April,15,9,2,1,2,0.0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,28.0,,0,Transient,90.43566565699757,0,0,Check-Out,2024-10-13
Resort Hotel,1,257,2015,August,35,28,2,3,2,0.0,0,BB,PRT,Online TA,TA/TO,0,1,0,A,A,0,No Deposit,240.0,,0,Transient,116.85276627508591,0,1,Canceled,2025-03-07
Resort Hotel,0,202,2015,September,38,14,1,1,2,0.0,0,HB,ESP,Groups,TA/TO,0,0,0,A,D,0,No Deposit,68.0,,0,Transient,69.13434961424934,0,0,Check-Out,2025-01-15
City Hotel,0,131,2016,April,17,18,1,2,2,0.0,0,BB,BEL,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,28.0,,0,Transient,57.66885578238548,0,1,Check-Out,2025-08-13
Resort Hotel,0,0,2015,November,48,23,1,0,1,0.0,0,HB,PRT,Corporate,Corporate,1,0,1,A,D,1,No Deposit,,20.0,0,Transient-Party,12.582910053896644,0,0,Check-Out,2024-09-17
City Hotel,1,136,2017,April,16,16,2,1,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,58.0,,0,Transient,100.40540211595115,0,0,Canceled,2024-10-24
City Hotel,0,123,2017,August,34,23,0,3,2,2.0,0,BB,DEU,Direct,Direct,0,0,0,E,E,0,No Deposit,14.0,,0,Transient,190.06685277923773,0,1,Check-Out,2025-01-09
City Hotel,0,16,2017,July,27,8,1,1,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,E,E,2,No Deposit,14.0,,0,Transient-Party,216.33928342428158,0,2,Check-Out,2025-02-17
Resort Hotel,0,13,2017,May,19,7,2,1,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,93.12214763753178,1,1,Check-Out,2025-09-09
Resort Hotel,1,148,2015,October,41,9,0,2,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,70.58088304375937,0,0,Canceled,2025-02-10
City Hotel,0,28,2017,March,11,14,0,2,1,0.0,0,BB,NLD,Groups,TA/TO,0,0,0,A,A,0,No Deposit,1.0,,0,Transient-Party,54.40473307597116,0,0,Check-Out,2025-01-10
Resort Hotel,1,51,2015,September,40,28,2,5,2,0.0,0,HB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,,0,Transient,98.2291454325942,0,2,Canceled,2025-05-20
Resort Hotel,0,203,2017,February,8,19,2,3,2,0.0,0,BB,IRL,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240.0,,0,Transient,57.04151449425981,0,0,Check-Out,2025-01-15
Resort Hotel,0,31,2015,September,37,7,1,4,2,0.0,0,HB,PRT,Online TA,TA/TO,0,0,0,E,E,1,No Deposit,240.0,,0,Transient,188.3354086354989,0,2,Check-Out,2025-01-23
Resort Hotel,0,2,2016,March,10,1,0,2,2,0.0,0,BB,FIN,Direct,Direct,0,0,0,E,E,0,No Deposit,,,0,Transient,73.08215449392513,0,0,Check-Out,2025-09-10
City Hotel,1,137,2017,June,24,16,1,2,1,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,27.0,,0,Transient-Party,85.11985647679674,0,0,Canceled,2025-02-05
Resort Hotel,0,3,2016,April,15,9,0,1,1,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,D,0,No Deposit,,,0,Transient,44.334749395427984,0,0,Check-Out,2024-11-10
City Hotel,0,86,2017,April,14,6,0,3,2,2.0,0,BB,BEL,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,9.0,,0,Transient,189.0964484036479,0,1,Check-Out,2025-04-06
City Hotel,0,316,2016,August,34,18,0,2,2,0.0,0,HB,DEU,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,6.0,,0,Transient-Party,113.78604384510301,0,1,Check-Out,2025-05-04
Resort Hotel,0,124,2016,May,22,25,0,4,1,0.0,0,BB,PRT,Online TA,Direct,1,1,6,A,A,0,No Deposit,,,0,Transient,55.92062991666404,0,4,Check-Out,2025-05-08
City Hotel,0,20,2015,December,53,27,2,1,2,0.0,0,BB,CHN,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,107.40219178653592,0,0,Check-Out,2024-11-29
City Hotel,0,38,2017,March,12,20,1,2,2,0.0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,28.0,,0,Transient,87.26064101294538,0,0,Check-Out,2024-12-30
City Hotel,1,13,2016,June,25,12,2,0,1,0.0,0,BB,RUS,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,90.95965149371833,0,0,Canceled,2024-12-08
City Hotel,0,257,2017,April,15,9,2,0,2,0.0,0,BB,DEU,Groups,TA/TO,0,0,0,A,A,0,No Deposit,58.0,,0,Transient-Party,76.61119973094759,0,1,Check-Out,2025-03-14
City Hotel,1,347,2016,November,45,4,1,2,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,21.0,,0,Transient,81.54888659333669,0,0,Canceled,2024-11-23
City Hotel,1,95,2016,October,42,10,1,0,1,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,234.0,,0,Transient-Party,114.61742102277897,0,0,Canceled,2024-10-02
Resort Hotel,1,21,2015,August,31,1,0,1,2,2.0,0,BB,PRT,Online TA,TA/TO,0,0,0,G,G,1,No Deposit,240.0,,0,Transient,221.8924732379847,0,1,Canceled,2025-02-14
City Hotel,1,193,2017,April,16,21,0,1,2,0.0,0,SC,NLD,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,101.40387444071332,0,1,Canceled,2025-05-29
Resort Hotel,1,31,2015,July,31,27,1,4,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,141.87962629371424,0,0,Canceled,2024-09-29
Resort Hotel,1,1,2016,January,5,28,0,1,1,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,0,No Deposit,126.0,,0,Transient,31.50081633065055,0,0,Canceled,2025-01-07
City Hotel,1,236,2016,November,45,3,0,3,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,21.0,,0,Transient,75.83601707518422,0,0,Canceled,2025-06-15
Resort Hotel,1,11,2016,August,33,12,0,2,2,0.0,0,HB,ESP,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240.0,,0,Transient,308.83417034953914,0,0,Canceled,2025-05-19
City Hotel,0,0,2016,December,53,25,1,0,2,0.0,0,BB,BEL,Direct,Direct,0,0,0,A,A,0,No Deposit,,,0,Transient,81.02217187846047,1,2,Check-Out,2025-05-08
Resort Hotel,0,13,2016,April,17,23,2,1,2,0.0,0,BB,BRA,Online TA,TA/TO,0,0,0,E,E,1,No Deposit,240.0,,0,Transient,76.17464260747987,0,1,Check-Out,2025-06-23
City Hotel,0,134,2016,July,29,14,2,5,3,0.0,0,BB,DEU,Offline TA/TO,TA/TO,0,0,0,A,D,1,No Deposit,22.0,,0,Transient,96.76583440530642,0,0,Check-Out,2024-10-06
Resort Hotel,1,5,2017,January,3,17,0,1,1,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,C,1,No Deposit,,135.0,0,Transient,40.21797841959845,0,0,Canceled,2025-01-24
City Hotel,1,62,2015,September,36,5,1,1,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,1.0,,0,Transient,68.10539775947922,0,0,Canceled,2025-04-24
City Hotel,1,0,2017,May,19,8,1,1,2,0.0,0,BB,CN,Direct,Direct,0,0,0,D,D,0,No Deposit,14.0,,0,Transient,133.5717844528287,0,0,Canceled,2025-07-21
City Hotel,0,4,2016,April,17,17,2,1,2,1.0,0,BB,CHE,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,86.0,,0,Transient,114.530013958917,0,0,Check-Out,2025-06-13
City Hotel,1,55,2017,April,15,15,2,3,2,0.0,0,SC,IRL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,89.19649516775051,0,0,Canceled,2025-08-05
Resort Hotel,0,1,2017,March,11,13,1,0,1,0.0,0,BB,PRT,Online TA,TA/TO,1,0,3,A,D,0,No Deposit,240.0,,0,Transient,56.29976905002814,0,1,Check-Out,2025-05-23
City Hotel,0,10,2016,July,31,24,1,0,2,0.0,0,SC,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,135.7051100131965,0,0,Check-Out,2025-06-17
City Hotel,1,137,2016,June,27,30,1,3,2,0.0,0,BB,NLD,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,103.65413469843978,0,1,Canceled,2024-11-17
City Hotel,1,65,2017,March,11,17,0,1,2,2.0,0,BB,USA,Online TA,TA/TO,0,0,0,F,G,0,No Deposit,9.0,,0,Transient,166.8444102015561,0,0,Canceled,2024-12-04
City Hotel,1,96,2015,November,48,23,1,2,1,0.0,0,FB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,37.0,,0,Transient-Party,69.5164624784888,0,0,Canceled,2025-05-15
City Hotel,0,97,2016,May,21,17,0,3,2,0.0,0,SC,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,104.15185842050921,0,1,Check-Out,2025-03-25
Resort Hotel,0,1,2015,August,36,30,2,0,2,0.0,0,HB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,151.06571668081676,0,3,Check-Out,2025-03-13
City Hotel,1,91,2015,August,32,6,0,3,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,78.73319811370327,0,1,Canceled,2025-01-05
